;;;;;;;;;"Supplier";"Supplier";"Supplier";"Supplier";"Auditor";"Auditor";"Auditor";"Auditor";"Auditor";"Auditor";"Auditor";"Auditor";"Auditor";"Reviewer";"Member";"Member";"Member"
;;;;;;;;;"Self-assessment answer";"Self-assessment answer";"Self-assessment answer";"Additional Guidance";"Evaluation";"Evaluation";"Evaluation";"Evaluation";"Additional Guidance";"Findings";"Findings";"Findings";"Points of excellence";"Comments";"Signature";"Signature";"Additional Guidance"
"Schema Base [SB]";"SB: Description";"SB: Classification";"SB: Attribute Name";"SB: Attribute Type";"SB: PII";"Format Overlay";"Label Overlay";"Encode Overlay";"Entry Overlay";"Information Overlay";"Source Overlay";"Information Overlay";"Entry Overlay";"Information Overlay";"Source Overlay";"Review Overlay";"Information Overlay";"Entry Overlay";"Information Overlay";"Review Overlay";"Review Overlay";"Review Overlay";"Information Overlay";"Source Overlay";"Information Overlay"
;;;;;;;"en_US";"en_US";"en_US";"en_US";;"en_US";"en_US";"en_US";;"en_US";"en_US";"en_US";"en_US";"en_US";"en_US";"en_US";"en_US";;"en_US"
"AuditOverview";"A schema to be used by audit contractors and suppliers to capture general audit report information, including the contact details of all audit participants";"GICS:35202010";"auditReportNumber";"Text";"Y";;"Auditor and Audit Report Information | Audit report number:";"utf-8";;;;;;;;;;;;;;;;;
"AuditOverview";"A schema to be used by audit contractors and suppliers to capture general audit report information, including the contact details of all audit participants";"GICS:35202010";"auditReportOwner";"Text";"Y";;"Auditor and Audit Report Information | Report owner:";"utf-8";;;;;;"The company that sponsors / pays for the audit. If a PSCI Member, please remove the name before the report is uploaded to the PSCI audit sharing platform.";;;;;;;;;;;
"AuditOverview";"A schema to be used by audit contractors and suppliers to capture general audit report information, including the contact details of all audit participants";"GICS:35202010";"auditDate";"Date";"Y";"DD/MM/YYYY";"Auditor and Audit Report Information | Date of audit:";"utf-8";;;;;;;;;;;;;;;;;
"AuditOverview";"A schema to be used by audit contractors and suppliers to capture general audit report information, including the contact details of all audit participants";"GICS:35202010";"auditType";"Text";;;"Auditor and Audit Report Information | Type of audit:";"utf-8";;;;;"Initial|Follow-up|Other";;;;;;;;;;;;
"AuditOverview";"A schema to be used by audit contractors and suppliers to capture general audit report information, including the contact details of all audit participants";"GICS:35202010";"auditTypeSpecify";"Text";"Y";;"Auditor and Audit Report Information | If other, please specify:";"utf-8";;;;;;;;;;;;;;;;;
"AuditOverview";"A schema to be used by audit contractors and suppliers to capture general audit report information, including the contact details of all audit participants";"GICS:35202010";"previousAuditDate";"Date";"Y";"DD/MM/YYYY";"Auditor and Audit Report Information | Date of previous audit:";"utf-8";;;;;;"Date of previous audit: If applicable";;;;;;;;;;;
"AuditOverview";"A schema to be used by audit contractors and suppliers to capture general audit report information, including the contact details of all audit participants";"GICS:35202010";"previousAuditType";"Text";;;"Auditor and Audit Report Information | Type of previous audit:";"utf-8";;;;;"Initial|Follow-up|Other";"Type of previous audit: If applicable";;;;;;;;;;;
"AuditOverview";"A schema to be used by audit contractors and suppliers to capture general audit report information, including the contact details of all audit participants";"GICS:35202010";"previousAuditTypeSpecify";"Text";"Y";;"Auditor and Audit Report Information | If other, please specify:";"utf-8";;;;;;;;;;;;;;;;;
"AuditOverview";"A schema to be used by audit contractors and suppliers to capture general audit report information, including the contact details of all audit participants";"GICS:35202010";"auditFirmName";"Text";"Y";;"Auditor and Audit Report Information | Audit firm name:";"utf-8";;;;;;;;;;;;;;;;;
"AuditOverview";"A schema to be used by audit contractors and suppliers to capture general audit report information, including the contact details of all audit participants";"GICS:35202010";"leadAuditorName";"Text";"Y";;"Auditor and Audit Report Information | Lead auditor name:";"utf-8";;;;;;;;;;;;;;;;;
"AuditOverview";"A schema to be used by audit contractors and suppliers to capture general audit report information, including the contact details of all audit participants";"GICS:35202010";"leadAuditorJobTitle";"Text";"Y";;"Auditor and Audit Report Information | Lead auditor job title:";"utf-8";;;;;;;;;;;;;;;;;
"AuditOverview";"A schema to be used by audit contractors and suppliers to capture general audit report information, including the contact details of all audit participants";"GICS:35202010";"furtherAuditorNames";"Array[Text]";"Y";;"Auditor and Audit Report Information | Names of further auditors:";"utf-8";;;;;;;;;;;;;;;;;
"AuditOverview";"A schema to be used by audit contractors and suppliers to capture general audit report information, including the contact details of all audit participants";"GICS:35202010";"furtherAuditorJobTitles";"Array[Text]";"Y";;"Auditor and Audit Report Information | Further auditors’ job titles:";"utf-8";;;;;;;;;;;;;;;;;
"AuditOverview";"A schema to be used by audit contractors and suppliers to capture general audit report information, including the contact details of all audit participants";"GICS:35202010";"leadAuditorPhoneNumber";"Text";"Y";;"Auditor and Audit Report Information | Phone number:";"utf-8";;;;;;;;;;;;;;;;;
"AuditOverview";"A schema to be used by audit contractors and suppliers to capture general audit report information, including the contact details of all audit participants";"GICS:35202010";"leadAuditorEmail";"Text";"Y";;"Auditor and Audit Report Information | Email:";"utf-8";;;;;;;;;;;;;;;;;
"AuditOverview";"A schema to be used by audit contractors and suppliers to capture general audit report information, including the contact details of all audit participants";"GICS:35202010";"companyName";"Text";"Y";;"Facility Details | Company name";"utf-8";;;;;;;;;;;;;;;;;
"AuditOverview";"A schema to be used by audit contractors and suppliers to capture general audit report information, including the contact details of all audit participants";"GICS:35202010";"siteName";"Text";"Y";;"Facility Details | Site name";"utf-8";;"Site name: If different from company name";;;;;;;;;;;;;;;
"AuditOverview";"A schema to be used by audit contractors and suppliers to capture general audit report information, including the contact details of all audit participants";"GICS:35202010";"parentCompanyName";"Text";"Y";;"Facility Details | Parent company name";"utf-8";;"Parent company name: If applicable";;;;;;;;;;;;;;;
"AuditOverview";"A schema to be used by audit contractors and suppliers to capture general audit report information, including the contact details of all audit participants";"GICS:35202010";"siteAddress";"Text";"Y";;"Facility Details | Site street address";"utf-8";;;;;;;;;;;;;;;;;
"AuditOverview";"A schema to be used by audit contractors and suppliers to capture general audit report information, including the contact details of all audit participants";"GICS:35202010";"siteCity";"Text";;;"Facility Details | Site city";"utf-8";;;;;;;;;;;;;;;;;
"AuditOverview";"A schema to be used by audit contractors and suppliers to capture general audit report information, including the contact details of all audit participants";"GICS:35202010";"siteState";"Text";;;"Facility Details | Site state/province/county";"utf-8";;;;;;;;;;;;;;;;;
